分类: 📺央视频道, 名称: CCTV-1, 有效: 4, IPv4: 349, IPv6: 0, 最小延迟: 224 ms, 最高速率: 12.10 M/s, 平均速率: 8.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 7, IPv4: 342, IPv6: 0, 最小延迟: 136 ms, 最高速率: 11.40 M/s, 平均速率: 7.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 9, IPv4: 334, IPv6: 0, 最小延迟: 147 ms, 最高速率: 11.33 M/s, 平均速率: 6.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.06, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 7, IPv4: 373, IPv6: 0, 最小延迟: 208 ms, 最高速率: 11.19 M/s, 平均速率: 8.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 357, IPv6: 0, 最小延迟: 228 ms, 最高速率: 13.51 M/s, 平均速率: 8.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.85, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 331, IPv6: 0, 最小延迟: 198 ms, 最高速率: 12.63 M/s, 平均速率: 7.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 316, IPv6: 0, 最小延迟: 217 ms, 最高速率: 10.28 M/s, 平均速率: 6.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 4, IPv4: 326, IPv6: 0, 最小延迟: 235 ms, 最高速率: 10.41 M/s, 平均速率: 5.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 328, IPv6: 0, 最小延迟: 223 ms, 最高速率: 3.64 M/s, 平均速率: 2.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 6, IPv4: 325, IPv6: 0, 最小延迟: 226 ms, 最高速率: 11.45 M/s, 平均速率: 5.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 249, IPv6: 0, 最小延迟: 198 ms, 最高速率: 10.63 M/s, 平均速率: 5.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 284, IPv6: 0, 最小延迟: 136 ms, 最高速率: 9.86 M/s, 平均速率: 5.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 254, IPv6: 0, 最小延迟: 222 ms, 最高速率: 14.47 M/s, 平均速率: 6.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
